,HorizonName,ZABS
1537,Skagerrak Fm. Top,2325.0
1538,Smith Bank Fm. Top,2505.0
1539,Draupne Fm. Top,2095.0
1540,Heather Fm. Top,2190.0
1541,Mime Fm. Top,2053.0
1542,Roedby Fm. Top,1417.0
1543,Aasgard Fm. Top,1679.0
1544,Blodoeks Fm. Top,1381.0
1545,Hidra Fm. Top,1411.0
1546,Hod Fm. Top,1343.0
1547,Tor Fm. Top,1136.0
1548,Balder Fm. Top,1014.0
1549,Lista Fm. Top,1081.0
1550,Sele Fm. Top,1053.0
1551,Vaale Fm. Top,1123.0
1552,Kupferschiefer Fm. Top,3802.0
